national_rank,scientific_name,common_name,class,order,family,phylum,top5,top10,evidence_support,evidence_support_label,direct_protective_context_count,direct_protective_chemical_count,warning_context_count,eligible_state_count,broad_life_stage_category_count,official_or_common_method_species,selection_incremental_gain_lower5,selection_objective_cumulative_lower5,incremental_expected_capture_lower5,validated_incremental_expected_capture_lower5,rank_scope,leave_one_out_loss_top5,support_note,cumulative_expected_capture_lower-5%,cumulative_expected_capture_lower-10%,cumulative_expected_capture_lower-20%
1,Gastrophryne carolinensis,,Amphibia,Anura,Microhylidae,Chordata,True,True,moderate_20_49,Moderate (20-49 protective contexts),38,28,0,17,1,False,0.09503893897030129,0.09503893897030127,0.09503893897030144,0.09503893897030144,frozen_r1_top20,0.0579071042001831,,0.09503893897030144,0.22416986033089858,0.44941169430456746
2,Neocloeon triangulifer,,Insecta,Ephemeroptera,Baetidae,Arthropoda,True,True,strong_50_plus,Strong (50+ protective contexts),60,18,0,0,2,False,0.07896651454076417,0.17400545351106542,0.0749991624750867,0.0749991624750867,frozen_r1_top20,0.0523421576980971,,0.17003810144538814,0.37143898372395384,0.6624834013428377
3,Hyalella azteca,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,True,True,strong_50_plus,Strong (50+ protective contexts),288,111,4,9,4,True,0.06977144166684131,0.2437768951779068,0.06359942191892054,0.06359942191892054,frozen_r1_top20,0.0504699172443302,,0.23363752336430868,0.47938562818174013,0.7760040283573164
4,Daphnia ambigua,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,True,True,moderate_20_49,Moderate (20-49 protective contexts),38,12,4,1,3,False,0.06370480445781417,0.307481699635721,0.05618402203430814,0.05618402203430814,frozen_r1_top20,0.0503249032530795,,0.2898215453986168,0.5659711429752481,0.8501894321004834
5,Daphnia magna,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,True,True,strong_50_plus,Strong (50+ protective contexts),859,328,144,6,4,True,0.055902021086489506,0.36338372072221053,0.04794278560038373,0.04794278560038373,frozen_r1_top20,0.0479427856003837,,0.33776433099900055,0.6240965136220255,0.8877548283207123
6,Ceriodaphnia dubia,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,True,strong_50_plus,Strong (50+ protective contexts),286,123,16,1,3,True,0.05106895946726025,0.41445268018947073,0.042788322259520506,0.042788322259520506,frozen_r1_top20,,,0.38055265325852106,0.6791973489728107,0.9209514588208818
7,Daphnia pulex,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,True,strong_50_plus,Strong (50+ protective contexts),243,130,18,2,4,True,0.043865705978598395,0.4583183861680692,0.03594665926369611,0.03594665926369611,frozen_r1_top20,,,0.41649931252221717,0.7183662844944108,0.9395945887180611
8,Daphnia carinata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,True,strong_50_plus,Strong (50+ protective contexts),59,35,0,0,2,False,0.040137329252280994,0.4984557154203501,0.03241498748017474,0.03241498748017474,frozen_r1_top20,,,0.4489143000023919,0.7514672669121899,0.9531613202223517
9,Gammarus fasciatus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,True,strong_50_plus,Strong (50+ protective contexts),122,97,2,13,4,False,0.03642545510024826,0.5348811705205984,0.029082580537227787,0.029082580537227787,frozen_r1_top20,,,0.4779968805396197,0.7802723736486304,0.9635564139475431
10,Gammarus lacustris,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,True,strong_50_plus,Strong (50+ protective contexts),100,74,2,14,2,False,0.03335246613794365,0.568233636658542,0.026414485234292073,0.026414485234292073,frozen_r1_top20,,,0.5044113657739118,0.8037351637820871,0.9709603612889615
11,Moina macrocopa,,Branchiopoda,Cladocera,Moinidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),80,56,3,0,3,False,0.03007742208962658,0.5983110587481687,0.023638456082785697,0.023638456082785697,frozen_r1_top20,,,0.5280498218566975,0.8237604462537113,0.9764539004427012
12,Gammarus pulex,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),147,80,26,0,4,False,0.02771713455245958,0.6260281933006282,0.021755179846934647,0.021755179846934647,frozen_r1_top20,,,0.5498050017036321,0.8404648567228905,0.9806748462392272
13,Paratya australiensis,,Malacostraca,Decapoda,Atyidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),29,16,0,0,2,False,0.02562880874855061,0.6516570020491786,0.02006533850315917,0.02006533850315917,frozen_r1_top20,,,0.5698703402067913,0.8574521864056883,0.9850231270967977
14,Gammarus pseudolimnaeus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),100,71,3,5,3,False,0.023624490003750713,0.6752814920529295,0.018498732513941518,0.018498732513941518,frozen_r1_top20,,,0.5883690727207328,0.8700462883354452,0.987426793196493
15,Ceriodaphnia reticulata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),48,31,2,0,2,False,0.021131470942196445,0.6964129629951261,0.016516782933700624,0.016516782933700624,frozen_r1_top20,,,0.6048858556544334,0.8805846752278043,0.9893100329835729
16,Dugesia japonica,,Turbellaria,Tricladida,Planariidae,Platyhelminthes,False,False,moderate_20_49,Moderate (20-49 protective contexts),23,20,3,0,1,False,0.01934270007977017,0.7157556630748961,0.01515703248670952,0.01515703248670952,frozen_r1_top20,,,0.620042888141143,0.8885042706177896,0.9903852258209058
17,Chironomus dilutus,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),74,26,0,2,2,True,0.01782307587858186,0.733578738953478,0.014080260704999126,0.014080260704999126,frozen_r1_top20,,,0.6341231488461421,0.8966177905318763,0.9916368319107531
18,Daphnia similis,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),21,15,4,0,2,False,0.016653583600084967,0.750232322553563,0.013183677266043858,0.013183677266043858,frozen_r1_top20,,,0.6473068261121859,0.9037822785227237,0.9926752172644816
19,Echinogammarus tibaldii,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),20,19,0,0,1,False,0.0154686495763292,0.7657009721298922,0.012357084623340286,0.012357084623340286,frozen_r1_top20,,,0.6596639107355262,0.9099989039469015,0.9934590775460908
20,Gammarus fossarum,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),44,18,17,0,3,False,0.014335372129499781,0.780036344259392,0.011543801692354694,0.011543801692354694,frozen_r1_top20,,,0.6712077124278809,0.9162218610897322,0.9943098068620642
21,Margaritifera falcata,,Bivalvia,Unionoida,Margaritiferidae,Mollusca,False,False,moderate_20_49,Moderate (20-49 protective contexts),26,10,0,7,1,False,0.013447306019976695,0.7934836502793686,0.010935355698566185,,extended_r1_greedy_order,,,0.6821430681264471,0.9212044547125429,0.9948429203975563
22,Megalonaias nervosa,,Bivalvia,Unionoida,Unionidae,Mollusca,False,False,moderate_20_49,Moderate (20-49 protective contexts),32,16,0,16,1,False,0.012428804659599488,0.8059124549389683,0.010202071930269785,,extended_r1_greedy_order,,,0.6923451400567169,0.9256308305939631,0.9952862031965205
23,Gammarus italicus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),23,19,0,0,1,False,0.011324979427618535,0.8172374343665867,0.009377594242819587,,extended_r1_greedy_order,,,0.7017227342995365,0.9298446870634651,0.9957339981419578
24,Gastrophryne olivacea,,Amphibia,Anura,Microhylidae,Chordata,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,1,7,1,False,0.010583327342888717,0.8278207617094754,0.008859365591129431,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.7105820998906659,0.9337083881590236,0.9961345352768982
25,Amblema plicata,,Bivalvia,Unionoida,Unionidae,Mollusca,False,False,moderate_20_49,Moderate (20-49 protective contexts),22,12,0,23,1,False,0.00992877091062118,0.8377495326200964,0.008419949401090032,,extended_r1_greedy_order,,,0.7190020492917559,0.9370942353047583,0.9964456961473416
26,Daphnia hyalina,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),13,13,0,0,1,False,0.009350047412892972,0.8470995800329897,0.008032484787452221,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.7270345340792082,0.940456591041335,0.9967821364891974
27,Ceriodaphnia quadrangula,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),26,12,0,0,1,False,0.008719630702196049,0.8558192107351856,0.007614338961058564,,extended_r1_greedy_order,,,0.7346488730402667,0.9435328818756641,0.9970700022350131
28,Gammarus minus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),20,18,0,7,1,False,0.008219378853841459,0.8640385895890271,0.007286881009048174,,extended_r1_greedy_order,,,0.7419357540493149,0.9463682154162321,0.9973125371385317
29,Cloeon dipterum,,Insecta,Ephemeroptera,Baetidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),80,53,3,8,2,False,0.007675725849474408,0.8717143154385014,0.0069283023065753735,,extended_r1_greedy_order,,,0.7488640563558903,0.9490265549403438,0.9975399217544634
30,Daphnia galeata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),35,19,2,2,1,False,0.007238414182473353,0.8789527296209748,0.006612714839428158,,extended_r1_greedy_order,,,0.7554767711953184,0.9515058444620881,0.9977506991523232
31,Hyalella meinerti,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),3,2,0,0,1,False,0.00663242013446473,0.8855851497554396,0.006139675228874486,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.7616164464241929,0.9537968025631401,0.9979334845997938
32,Ceriodaphnia lacustris,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,0,1,False,0.0062663050244546985,0.8918514547798941,0.00589884209686109,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.767515288521054,0.9559630130388959,0.9981066632855992
33,Jordanella floridae,,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Chordata,False,False,strong_50_plus,Strong (50+ protective contexts),77,32,5,2,4,False,0.005914975712493658,0.8977664304923879,0.005677601747888783,,extended_r1_greedy_order,,,0.7731928902689428,0.9578712932962817,0.9982381330236453
34,Lampsilis siliquoidea,,Bivalvia,Unionoida,Unionidae,Mollusca,False,False,strong_50_plus,Strong (50+ protective contexts),117,41,5,20,2,False,0.005577196083212227,0.9033436265756,0.005454688572505972,,extended_r1_greedy_order,,,0.7786475788414488,0.959620474030883,0.9983552454154032
35,Daphnia parvula,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),1,1,0,2,1,False,0.005256480272343155,0.9086001068479432,0.00522208005983249,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.7838696589012812,0.9613507741739795,0.9984773889065232
36,Chironomus riparius,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),192,95,17,0,3,False,0.0049701505710723765,0.9135702574190153,0.0050542149471831666,,extended_r1_greedy_order,,,0.7889238738484644,0.9628164348675416,0.9985646438106295
37,Daphnia rosea,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),4,4,0,0,2,False,0.00469267604841594,0.9182629334674316,0.004850564282263603,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.793774438130728,0.9643642595627897,0.9986677753433943
38,Daphnia cephalata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),3,1,0,0,1,False,0.004428896957354198,0.922691830424786,0.00467218082222276,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.7984466189529508,0.9658230790187537,0.9987616128728268
39,Daphnia cucullata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),13,13,0,0,1,False,0.004183257744585814,0.9268750881693718,0.00450525091230547,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8029518698652562,0.9671523872236447,0.9988399583911257
40,Pteronarcys californica,,Insecta,Plecoptera,Pteronarcyidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),83,71,0,8,2,False,0.0039494710364027545,0.9308245592057744,0.004379221509964282,,extended_r1_greedy_order,,,0.8073310913752205,0.9685109586968887,0.9989268734277893
41,Macrobrachium nipponense,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),20,13,0,1,2,False,0.003729364058902298,0.9345539232646765,0.004216854161587902,,extended_r1_greedy_order,,,0.8115479455368084,0.9697390417558827,0.9989983638689532
42,Hyridella australis,,Bivalvia,Unionoida,Hyriidae,Mollusca,False,False,sparse_5_19,Limited (5-19 protective contexts),12,6,0,0,1,False,0.003512387640203189,0.9380663109048798,0.004050521543510377,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8155984670803188,0.9710768606598994,0.9990840640840208
43,Tanytarsus dissimilis,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),34,27,1,1,2,False,0.0033223842943310784,0.9413886951992109,0.003914351589631493,,extended_r1_greedy_order,,,0.8195128186699503,0.9720971324894643,0.9991316820638241
44,Ceriodaphnia cornuta,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),4,2,0,0,1,False,0.003102062222669812,0.9444907574218808,0.0037219290827641416,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8232347477527144,0.9731588824341857,0.9991891442506796
45,Chironomus tentans,,Insecta,Diptera,Chironomidae,Arthropoda,False,False,strong_50_plus,Strong (50+ protective contexts),184,84,14,0,2,False,0.0029352236920112016,0.947425981113892,0.003625273646058802,,extended_r1_greedy_order,,,0.8268600213987732,0.9740569580905281,0.9992296028378417
