state_code,rank,scientific_name,candidate_status,direct_support_chemical_count,mean_tail_probability,mean_reliability,species_relevance_weight
AL,1,Gastrophryne carolinensis,state_occurrence,0,0.09411287307739258,0.668943425019582,0.4795155838341114
AL,2,Lepomis macrochirus,state_occurrence,2,0.053970759113629654,0.5260577003161112,0.6403881968377824
AL,3,Salmo trutta,state_occurrence,1,0.06213851024707158,0.4333666960398356,0.5248804826394601
AL,4,Daphnia magna,neighbor_occurrence,2,0.1145576611161232,0.558639923731486,0.2756445346547257
AL,5,Ictalurus punctatus,state_occurrence,2,0.05346366887291272,0.3477395176887512,0.554225282407428
AZ,1,Hyalella azteca,state_occurrence,11,0.08454710314786526,0.7176016193412259,0.602180497184737
AZ,2,Gammarus lacustris,state_occurrence,5,0.0716126685452871,0.6935949205445509,0.5126028838285978
AZ,3,Lithobates pipiens,state_occurrence,4,0.05129663916145903,0.7544879233961785,0.5219185837261979
AZ,4,Daphnia magna,neighbor_occurrence,23,0.08255935804084755,0.7149687778535299,0.2756445346547257
AZ,5,Aedes aegypti,state_occurrence,9,0.042624489948094806,0.6838330958970917,0.5270711480685213
CA,1,Daphnia magna,state_occurrence,21,0.08126775081512903,0.7268489938417908,0.6398890983056131
CA,2,Hyalella azteca,state_occurrence,10,0.08369475257033104,0.7332525120334609,0.602180497184737
CA,3,Gammarus lacustris,state_occurrence,6,0.07196874388142714,0.6839991798655919,0.5126028838285978
CA,4,Chironomus dilutus,state_occurrence,4,0.06344659179144409,0.7334786740555088,0.553878767374785
CA,5,Pteronarcys californica,state_occurrence,6,0.055235016026387376,0.6633526066004355,0.5088384485421562
CO,1,Hyalella azteca,state_occurrence,9,0.08323376709024322,0.7466095092212737,0.602180497184737
CO,2,Gammarus lacustris,state_occurrence,4,0.07141123344117625,0.7094574319328987,0.5126028838285978
CO,3,Pteronarcys californica,state_occurrence,3,0.05416844853922952,0.692719474535768,0.5088384485421562
CO,4,Lithobates pipiens,state_occurrence,5,0.05094102179744128,0.7611262745235818,0.5219185837261979
CO,5,Thamnocephalus platyurus,state_occurrence,0,0.05206516173194298,0.6336789782710319,0.4675493311286796
CT,1,Gammarus fasciatus,state_occurrence,3,0.07239470692406685,0.6811248655861176,0.5207603814555113
CT,2,Lithobates sylvaticus,state_occurrence,0,0.04681330327080703,0.7444905167082224,0.7662145470600399
CT,3,Cloeon dipterum,state_occurrence,3,0.056791370631580296,0.6810845517893263,0.5029330801936077
CT,4,Lithobates pipiens,state_occurrence,0,0.04957979141774522,0.7671526116899392,0.5219185837261979
CT,5,Aedes vexans,state_occurrence,2,0.04810314508283929,0.6267808367088036,0.4664841048657485
FL,1,Gastrophryne carolinensis,state_occurrence,0,0.09445638802230003,0.670971501644789,0.4795155838341114
FL,2,Megalonaias nervosa,state_occurrence,0,0.06044228013794327,0.6670617418936499,0.4669262183617657
FL,3,Lepomis macrochirus,state_occurrence,30,0.04380424410759703,0.4950371563992688,0.6403881968377824
FL,4,Jordanella floridae,state_occurrence,1,0.055171182366409936,0.7152772877874539,0.4932243138558412
FL,5,Utterbackia imbecillis,state_occurrence,0,0.04910928722477398,0.7039581388372397,0.4838121063808795
GA,1,Daphnia magna,state_occurrence,12,0.08047442383893541,0.7400643320414009,0.6398890983056131
GA,2,Gastrophryne carolinensis,state_occurrence,0,0.09642965338110612,0.6852273762371375,0.4795155838341114
GA,3,Megalonaias nervosa,state_occurrence,0,0.0614174834247365,0.6791528381863516,0.4669262183617657
GA,4,Lepomis macrochirus,state_occurrence,14,0.0427604117371412,0.4877003046728108,0.6403881968377824
GA,5,Utterbackia imbecillis,state_occurrence,0,0.04978144008221261,0.7170358657885237,0.4838121063808795
ID,1,Gammarus lacustris,state_occurrence,4,0.0709274775568144,0.6981912879167295,0.5126028838285978
ID,2,Margaritifera falcata,state_occurrence,0,0.06115356337840715,0.6214534144008285,0.4556111125020763
ID,3,Pteronarcys californica,state_occurrence,3,0.05395345086295168,0.6817714598685708,0.5088384485421562
ID,4,Lithobates pipiens,state_occurrence,5,0.05139715644631882,0.7567072486066169,0.5219185837261979
ID,5,Lymnaea stagnalis,state_occurrence,2,0.0451357247212702,0.7208512382122809,0.5127354120331439
IL,1,Gastrophryne carolinensis,state_occurrence,3,0.10279339599489606,0.5805661507955983,0.4795155838341114
IL,2,Gammarus pseudolimnaeus,state_occurrence,0,0.06974088345152944,0.7362351338152022,0.5118492163030255
IL,3,Lymnaea stagnalis,state_occurrence,2,0.06816879048948986,0.6992479389823428,0.5127354120331439
IL,4,Lepomis macrochirus,state_occurrence,5,0.04642561544437957,0.486075824419225,0.6403881968377824
IL,5,Megalonaias nervosa,state_occurrence,0,0.06157132054600168,0.6790682835207951,0.4669262183617657
IN,1,Gammarus pseudolimnaeus,state_occurrence,1,0.06938425521837066,0.7183854915155419,0.5118492163030255
IN,2,Lampsilis siliquoidea,state_occurrence,3,0.05548598478177781,0.7110471927147309,0.5044393865336455
IN,3,Lepomis macrochirus,state_occurrence,16,0.04327631574136354,0.4949701035374409,0.6403881968377824
IN,4,Amblema plicata,state_occurrence,0,0.05890952964338522,0.6169090362107085,0.4560759714921422
IN,5,Pimephales promelas,state_occurrence,9,0.04130036862266903,0.5295665365763058,0.6430970626380468
IA,1,Gammarus pseudolimnaeus,state_occurrence,2,0.06804913103425125,0.7112074244159691,0.5118492163030255
