state_code,state_name,target,eligible_priority_chemical_count,national_top5,status,reason,localized_top5,display_top5,top5_basis,overlap_species,overlap_count,localized_expected_capture,national_expected_capture,absolute_gain_percentage_points,weighting_summary
AL,Alabama,lower-5%,3,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Gastrophryne carolinensis', 'Lepomis macrochirus', 'Salmo trutta', 'Daphnia magna', 'Ictalurus punctatus']","['Gastrophryne carolinensis', 'Lepomis macrochirus', 'Salmo trutta', 'Daphnia magna', 'Ictalurus punctatus']",Localized Top-5,"['Gastrophryne carolinensis', 'Daphnia magna']",2,0.1534058104955966,0.08906170470285,6.434410579274659,State-priority chemical weights multiplied by soft species relevance and method-support weights.
AK,Alaska,lower-5%,0,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",insufficient_support,No eligible priority chemicals were available in the frozen state dataset; the fixed national Top-5 is shown as the default pending additional monitoring evidence.,[],"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",Fixed national Top-5 (state-specific panel unavailable),[],0,,,,
AZ,Arizona,lower-5%,94,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Hyalella azteca', 'Gammarus lacustris', 'Lithobates pipiens', 'Daphnia magna', 'Aedes aegypti']","['Hyalella azteca', 'Gammarus lacustris', 'Lithobates pipiens', 'Daphnia magna', 'Aedes aegypti']",Localized Top-5,"['Hyalella azteca', 'Daphnia magna']",2,0.1430629325798949,0.0878947919732584,5.516814060663649,State-priority chemical weights multiplied by soft species relevance and method-support weights.
AR,Arkansas,lower-5%,0,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",insufficient_support,No eligible priority chemicals were available in the frozen state dataset; the fixed national Top-5 is shown as the default pending additional monitoring evidence.,[],"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",Fixed national Top-5 (state-specific panel unavailable),[],0,,,,
CA,California,lower-5%,99,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Daphnia magna', 'Hyalella azteca', 'Gammarus lacustris', 'Chironomus dilutus', 'Pteronarcys californica']","['Daphnia magna', 'Hyalella azteca', 'Gammarus lacustris', 'Chironomus dilutus', 'Pteronarcys californica']",Localized Top-5,"['Daphnia magna', 'Hyalella azteca']",2,0.1771094218022397,0.1133819225455528,6.372749925668687,State-priority chemical weights multiplied by soft species relevance and method-support weights.
CO,Colorado,lower-5%,136,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Hyalella azteca', 'Gammarus lacustris', 'Pteronarcys californica', 'Lithobates pipiens', 'Thamnocephalus platyurus']","['Hyalella azteca', 'Gammarus lacustris', 'Pteronarcys californica', 'Lithobates pipiens', 'Thamnocephalus platyurus']",Localized Top-5,['Hyalella azteca'],1,0.1474803752492473,0.0825151621348362,6.496521311441112,State-priority chemical weights multiplied by soft species relevance and method-support weights.
CT,Connecticut,lower-5%,42,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Gammarus fasciatus', 'Lithobates sylvaticus', 'Cloeon dipterum', 'Lithobates pipiens', 'Aedes vexans']","['Gammarus fasciatus', 'Lithobates sylvaticus', 'Cloeon dipterum', 'Lithobates pipiens', 'Aedes vexans']",Localized Top-5,[],0,0.1351805906658741,0.0335779591915594,10.16026314743147,State-priority chemical weights multiplied by soft species relevance and method-support weights.
DE,Delaware,lower-5%,0,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",insufficient_support,No eligible priority chemicals were available in the frozen state dataset; the fixed national Top-5 is shown as the default pending additional monitoring evidence.,[],"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",Fixed national Top-5 (state-specific panel unavailable),[],0,,,,
DC,District of Columbia,lower-5%,0,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",insufficient_support,No eligible priority chemicals were available in the frozen state dataset; the fixed national Top-5 is shown as the default pending additional monitoring evidence.,[],"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",Fixed national Top-5 (state-specific panel unavailable),[],0,,,,
FL,Florida,lower-5%,127,"['Gastrophryne carolinensis', 'Neocloeon triangulifer', 'Hyalella azteca', 'Daphnia ambigua', 'Daphnia magna']",supported,,"['Gastrophryne carolinensis', 'Megalonaias nervosa', 'Lepomis macrochirus', 'Jordanella floridae', 'Utterbackia imbecillis']","['Gastrophryne carolinensis', 'Megalonaias nervosa', 'Lepomis macrochirus', 'Jordanella floridae', 'Utterbackia imbecillis']",Localized Top-5,['Gastrophryne carolinensis'],1,0.1370328992493233,0.081494035942699,5.553886330662426,State-priority chemical weights multiplied by soft species relevance and method-support weights.
