scientific_name,common_name,class,order,family,phylum,national_rank,top5,top10,protective_context_count,protective_chemical_count,warning_context_count,warning_chemical_count,broad_life_stage_category_count,eligible_state_count,state_occurrence_available,evidence_support,evidence_support_label,official_or_common_method_species,testing_priority,rank_scope,note
Gastrophryne carolinensis,,Amphibia,Anura,Microhylidae,Chordata,1,True,True,38,28,0,0,1,17,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0096890915934777,frozen_top20,
Neocloeon triangulifer,,Insecta,Ephemeroptera,Baetidae,Arthropoda,2,True,True,60,18,0,0,2,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0043958333834621,frozen_top20,
Hyalella azteca,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,3,True,True,288,111,4,4,4,9,True,strong_50_plus,Strong (50+ protective contexts),True,0.0031425889941946,frozen_top20,
Daphnia ambigua,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,4,True,True,38,12,4,4,3,1,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0110949202926286,frozen_top20,
Daphnia magna,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,5,True,True,859,328,144,111,4,6,True,strong_50_plus,Strong (50+ protective contexts),True,0.0017684215422218,frozen_top20,
Ceriodaphnia dubia,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,6,False,True,286,123,16,16,3,1,True,strong_50_plus,Strong (50+ protective contexts),True,0.0023516302677481,frozen_top20,
Daphnia pulex,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,7,False,True,243,130,18,13,4,2,True,strong_50_plus,Strong (50+ protective contexts),True,0.002598381394551,frozen_top20,
Daphnia carinata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,8,False,True,59,35,0,0,2,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0037636236974349,frozen_top20,
Gammarus fasciatus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,9,False,True,122,97,2,2,4,13,True,strong_50_plus,Strong (50+ protective contexts),False,0.0040120545023979,frozen_top20,
Gammarus lacustris,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,10,False,True,100,74,2,2,2,14,True,strong_50_plus,Strong (50+ protective contexts),False,0.0042323342944099,frozen_top20,
Moina macrocopa,,Branchiopoda,Cladocera,Moinidae,Arthropoda,11,False,False,80,56,3,3,3,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0027433250570818,frozen_top20,
Gammarus pulex,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,12,False,False,147,80,26,20,4,0,False,strong_50_plus,Strong (50+ protective contexts),False,0.0019627693776968,frozen_top20,
Paratya australiensis,,Malacostraca,Decapoda,Atyidae,Arthropoda,13,False,False,29,16,0,0,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0038221916183335,frozen_top20,
Gammarus pseudolimnaeus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,14,False,False,100,71,3,3,3,5,True,strong_50_plus,Strong (50+ protective contexts),False,0.0036685223813549,frozen_top20,
Ceriodaphnia reticulata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,15,False,False,48,31,2,2,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0030702171750965,frozen_top20,
Dugesia japonica,,Turbellaria,Tricladida,Planariidae,Platyhelminthes,16,False,False,23,20,3,3,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0035655717428748,frozen_top20,
Chironomus dilutus,,Insecta,Diptera,Chironomidae,Arthropoda,17,False,False,74,26,0,0,2,2,True,strong_50_plus,Strong (50+ protective contexts),True,0.0029000777946307,frozen_top20,
Daphnia similis,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,18,False,False,21,15,4,2,2,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0055191877786221,frozen_top20,
Echinogammarus tibaldii,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,19,False,False,20,19,0,0,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0038764338608754,frozen_top20,
Gammarus fossarum,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,20,False,False,44,18,17,9,3,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0028934466173206,frozen_top20,
Margaritifera falcata,,Bivalvia,Unionoida,Margaritiferidae,Mollusca,21,False,False,26,10,0,0,1,7,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0108842238313844,extended_greedy_order,
Megalonaias nervosa,,Bivalvia,Unionoida,Unionidae,Mollusca,22,False,False,32,16,0,0,1,16,True,moderate_20_49,Moderate (20-49 protective contexts),False,0.0104586006774659,extended_greedy_order,
Gammarus italicus,,Malacostraca,Amphipoda,Gammaridae,Arthropoda,23,False,False,23,19,0,0,1,0,False,moderate_20_49,Moderate (20-49 protective contexts),False,0.0036602833495089,extended_greedy_order,
